L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
102	Krzysztof Sas-Nowosielski	AZS AWF Katowice/Evolv	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	b	t		t	b	Weteran	M	17	19
136	Waldek Podhajny	K Gliwice	t	t	t	t	t	t	t	t	t		t	t	t	t	t	b	t		b		Weteran	M	15	17
125	Sebastian Dudek	Joga dla wspinaczy	t	t	t	t	t	t	t	b	t	t	t	t	t	t	t				b	b	Weteran	M	14	17
13	Zenek Ziołko	KW Jastrzębie	t	t	t	t	t	t	t	t	t	b		b	t	t	t						Weteran	M	12	14
92	Wojciech Jurek	KW Częstochowa	t	t	t	t	t	t	t	t	t		b	b	t	t	t		b				Weteran	M	12	15
11	Błażej Bodynek	CSC	t	t	t	t	t	t	t	t	t	t				t							Lajt	M	11	11
56	Kuba Wybieralski	Languagelab.com.pl						t	t	t	t	t	t	t	t	t	t		t				Trudna	M	11	11
83	Przemek Filipek	Bełchatów KW	t	t	t	t	t	t		t		t		b	t	t	t						Weteran	M	11	12
91	Kacper Matuszek	Salewa Block						t	t	t	t	t	t	t	t	t	t					t	Trudna	M	11	10
130	Hanna Piątkowska		t	t	t	t	t	t	t	t	t	t					t						Weteran	K	11	11
142	Piotr Ćwiąkała	KW Jastrzębie	t	t	t	t	t	t	t	t	t	t					t						Weteran	M	11	11
2	Roman Batsenko	8a.pl								t	t	t	t	t	t	t	t	t	t	t	t	t	Pro	M	10	10
6	Wiktoria Dymińska	CSC	t	t	t	t	t	t	t	t	t	t											Lajt	K	10	10
8	Jakub Pierchała	CW Cechownia						t	t	t	t	t	t	t	t	t	t				b		Trudna	M	10	11
9	Michał Dobrzański	KS Korona						t	t	t	t	t	t	t	t	t	t				b		Trudna	M	10	11
10	Juliusz Chmielarski	CW Transformator						t	t	t	t	t	t	t	t	t	t						Trudna	M	10	10
17	Artu Wójcik	KW Częstochowa						t	t	t	t	t	t	t	t	t	t						Trudna	M	10	10
29	Michał Hajduczek	CW Cechownia						t	t	t	t	t	t	t	t	t	t		b		b		Trudna	M	10	11
30	Tomasz Kłosek	CW Transformator						t	t	t	t	t	t	t	t	t	t		b		b		Trudna	M	10	11
32	Mirosław Garbas		t	t	t	t	t	t	t	b	t				b	t	t						Weteran	M	10	12
