L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
79	TOMEK SERWATKA		t	t	t	t	t	t	t		t	b	t	b		b							Trudna	M	4	7
80	GRZEGORZ POPRAWA	KW KATOWICE	t	t	t	t	t	t	t	t		b	t	b									Trudna	M	4	6
81	KAROL LEGASZEWSKI	KW GLIWICE						t	t		t	b	t	b									Trudna	M	4	6
82	MICHAŁ ŚWIDERSKI	WITCHHOLDS, KSE JURA	t	t	t	t	t	t	t		t		t	b		b							Trudna	M	4	6
83	KAROL PIECHOTA	CW TRANSFORMATOR						t	t		b	t	t										Trudna	M	4	5
84	DAWID OCIEPKA		t	t	t	t	t	t	t		b	b	t										Trudna	M	3	5
85	KRZYSZTOF HERTLING	CSC ADVENTURE ACADEMY	t	t	t	t	t	t	t	b	b		t										Trudna	M	3	5
86	TOMEK SORDYL	GO FOR IT	t	t	t	t	t	t	t	b	b	b	t	b		b	b						Trudna	M	3	0
87	MACIEJ DOBRZAŃSKI	KS KORONA/SCARPA, GRIVEL, JULBO											t	t	t	t	t	t	t	b	b	b	Pro	M	7	10
88	ŁUKASZ KUDŁA	E-CLIMBING WITCHHOLDS											t	t	t	t	t	b	b		t	b	Pro	M	6	9
89	ZBYSZEK BARDEL	BALTORO RZESZÓW	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	b	b		b	b	Pro	M	5	9
90	GRZEGORZ RAWINIS	CW TRANSFORMATOR/WOJTAS GIL											t	t	t	t	b	t	b			b	Pro	M	5	8
91	BARTEK OPIELA	BLOKATOWICE	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	b	b		t	b	Pro	M	6	9
92	JAKUB CZARNOTA	POZIOM450											t	b	t	t	b	t			b	b	Pro	M	4	8
93	ADAM SZYMCZAK	KS KORONA/BERSERK	t	t	t	t	t	t	t	t	t	t	t	b	b	t	t		b		b	b	Pro	M	3	8
94	ANDREA VACCA	V10BZ/ONSIGHT	t	t	t	t	t	t	t	t	t	t	t	t	b	b	t	b				b	Pro	M	3	7
95	KAJETAN PAWELEC	KS KORONA											t	t	b	t	b					b	Pro	M	3	6
96	IRENEUSZ IWAŃSKI	CLIMB TEAM GOGOLIN											t	t	b	t	b					b	Pro	M	3	6
97	KAJTEK KOPERWAS												t	t	t	b	b	b					Pro	M	3	6
98	KAMIL SUCHARSKI												t	b	b	t	t					b	Pro	M	3	6
99	KONRAD AKOWACZ ?	KS KORONA											t	t	b	b	t						Pro	M	3	5
100	JAKUB ROBAKOWSKI	CW CECHOWNIA											t	t	b	b	b					b	Pro	M	2	6
101	ADRIAN CHROBAK	POZIOM450											t	b		t	b						Pro	M	2	4
102	DAWID GWIŻDŻ												t	b	b	b	b						Pro	M	1	5
103	MIŁOSZ BUJAK	SKARPA BYTOM											t	b	b	b	b						Pro	M	1	5
104	PRZEMYSŁAW MICHNA												t	b	b	b	b						Pro	M	1	5
105	ŁUKASZ WARCHAŁ												t	b	b	b	b	b					Pro	M	1	5
106	ALEKSANDER DOBKOWSKI	KW KATOWICE	t	t	t	t	t	t	t	t	t	t	t	b		b							Lajt	M	11	11
107	JAREK SOBEL	CW CECHOWNIA	t	t	t	t	t	t	t	t	t	t	t										Trudna	M	6	6
108	AGNIESZKA MICHALAK	KW CZĘSTOCHOWA	t	t	t	t	t	t	t	t	t	t	t	b			b						Lajt	K	11	11
109	MARLENA ABRAM	FAIR CLIMB/KW KATOWICE	t	t	t	t	t	t	t	b	t	t		b									Lajt	K	9	11
110	AGATA ERM	X TEAM ORZESZE	t	t	t	t	t	t	t	b	t	t	t										Lajt	K	9	11
111	WOJTEK NATANEK	SW KW KATOWICE	t	t	t	t	t	t	t	b	t	t	t										Lajt	M	9	11
112	ADAM BIAŁOŻYT		t	t	t	t	t	t	t	b	t	t	t										Lajt	M	9	11
113	JAKUB PIERCHAŁA	CW CECHOWNIA	t	t	t	t	t	t	t	b	t	t	t										Trudna	M	5	6
114	PAWEŁ CZORNIK	CW TRANSFORMATOR	t	t	t	t	t	t	t	t	t	b											Lajt	M	9	10
115	PAWEŁ DYKIEL	CW TRANSFORMATOR	t	t	t	t	t	t	t		t	t											Lajt	M	9	9
116	MAREK BORKOWSKI	CW PRIMAROCA	t	t	t	t	t	t	t	b	t	b		b									Lajt	M	8	11
